[iter 0]: 4021188
[iter 3142] Improved: 4043843
[iter 3160] Improved: 4043885
[iter 3168] Improved: 4043985
[iter 3186] Improved: 4044141
[iter 3197] Improved: 4044270
[iter 3198] Improved: 4044438
[iter 3200] current best: 4044438
[iter 3214] Improved: 4044462
[iter 3220] Improved: 4044582
[iter 3227] Improved: 4044589
[iter 3232] Improved: 4044715
[iter 3238] Improved: 4044726
[iter 3247] Improved: 4044969
[iter 3266] Improved: 4044989
[iter 3268] Improved: 4045037
[iter 3300] current best: 4045037
[iter 3301] Improved: 4045042
[iter 3317] Improved: 4045044
[iter 3339] Improved: 4045394
[iter 3346] Improved: 4045576
[iter 3379] Improved: 4045578
[iter 3395] Improved: 4045858
[iter 3398] Improved: 4045938
[iter 3400] current best: 4045938
[iter 3410] Improved: 4045945
[iter 3500] current best: 4045945
[iter 3548] Improved: 4045949
[iter 3555] Improved: 4046089
[iter 3559] Improved: 4046134
[iter 3579] Improved: 4046450
[iter 3597] Improved: 4046465
[iter 3600] current best: 4046465
[iter 3611] Improved: 4046466
[iter 3652] Improved: 4046467
[iter 3675] Improved: 4046479
[iter 3700] current best: 4046479
[iter 3701] Improved: 4046567
[iter 3724] Improved: 4046588
[iter 3734] Improved: 4046872
[iter 3749] Improved: 4047022
[iter 3762] Improved: 4047112
[iter 3800] current best: 4047112
[iter 3801] Improved: 4047119
[iter 3806] Improved: 4047139
[iter 3807] Improved: 4047224
[iter 3814] Improved: 4047227
[iter 3838] Improved: 4047378
[iter 3839] Improved: 4047396
[iter 3842] Improved: 4047452
[iter 3848] Improved: 4047862
[iter 3867] Improved: 4047941
[iter 3891] Improved: 4047944
[iter 3900] current best: 4047944
[iter 3921] Improved: 4048184
[iter 3922] Improved: 4048186
[iter 3923] Improved: 4048191
[iter 3935] Improved: 4048271
[iter 3967] Improved: 4048325
[iter 3984] Improved: 4048336
[iter 3990] Improved: 4048338
[iter 4000] current best: 4048338
[iter 4020] Improved: 4048618
[iter 4035] Improved: 4048624
[iter 4043] Improved: 4048625
[iter 4087] Improved: 4048670
[iter 4094] Improved: 4048675
[iter 4100] current best: 4048675
[iter 4105] Improved: 4048871
[iter 4147] Improved: 4049069
[iter 4151] Improved: 4049070
[iter 4154] Improved: 4049072
[iter 4170] Improved: 4049083
[iter 4176] Improved: 4049447
[iter 4184] Improved: 4049657
[iter 4199] Improved: 4049662
[iter 4200] Improved: 4049663
[iter 4200] current best: 4049663
[iter 4203] Improved: 4050767
[iter 4226] Improved: 4050786
[iter 4229] Improved: 4051043
[iter 4233] Improved: 4051048
[iter 4245] Improved: 4051063
[iter 4266] Improved: 4051083
[iter 4300] current best: 4051083
[iter 4327] Improved: 4051261
[iter 4336] Improved: 4051301
[iter 4339] Improved: 4051303
[iter 4359] Improved: 4051354
[iter 4381] Improved: 4051390
[iter 4382] Improved: 4051391
[iter 4400] current best: 4051391
[iter 4413] Improved: 4051392
[iter 4417] Improved: 4051394
[iter 4433] Improved: 4051395
[iter 4488] Improved: 4051408
[iter 4500] current best: 4051408
[iter 4510] Improved: 4051409
[iter 4521] Improved: 4051544
[iter 4544] Improved: 4051604
[iter 4563] Improved: 4051724
[iter 4570] Improved: 4051730
[iter 4600] current best: 4051730
[iter 4604] Improved: 4051930
[iter 4613] Improved: 4052125
[iter 4625] Improved: 4052264
[iter 4645] Improved: 4052448
[iter 4647] Improved: 4052656
[iter 4700] Improved: 4052704
[iter 4700] current best: 4052704
[iter 4717] Improved: 4052912
[iter 4719] Improved: 4052921
[iter 4725] Improved: 4052930
[iter 4732] Improved: 4052970
[iter 4761] Improved: 4052976
[iter 4786] Improved: 4052977
[iter 4800] current best: 4052977
[iter 4810] Improved: 4052978
[iter 4813] Improved: 4052980
[iter 4817] Improved: 4053020
[iter 4830] Improved: 4053136
